text_content,extracted_keywords,true_category,true_severity
911? There has been a fuel leak near Industrial Area. I can see a truck involved and a trapped passenger. Send someone now!,a trapped passenger; industrial area; fuel leak,HAZMAT,5
Please send help to Bus Terminal. We have a bus crash involving a truck. What do I do?!,bus crash; bus terminal; truck,CRASH,3
We have a power line failure near Tunnel Entrance. It happened a few minutes ago.,power line failure; tunnel entrance; happened,HAZMAT,2
Help! Please send help to Old Bridge. We have a aircraft emergency involving a ambulance. People are moving away. The weather is dense fog.,old bridge; dense fog; aircraft emergency,CRASH,2
Oh my god! Reports are coming in from Airport Junction about a flash flood. There is oil spill. The weather is thunderstorm.,airport junction; oil spill; flash flood,FLOOD,2
"It's, um, There has been a chemical spill near Forest Checkpoint. I can see a train involved and one injured person. The incident happened during rush hour. What do I do?!",one injured person; chemical spill; forest checkpoint,HAZMAT,2
Please hurry! Please send help to Airport Road. We have a hazardous material incident involving a bus.,hazardous material incident; airport road; bus,HAZMAT,2
"Wait, yes, Ahhh! Reports are coming in from City Hospital about a motorcycle accident. There is fallen tree. People are moving away. Send someone now!",city hospital; fallen tree; motorcycle accident,CRASH,1
I think there has been a fallen tree near Airport Junction. an injured child. Send someone now!,an injured child; airport junction; fallen tree,RESCUE,3
"I... I don't know, Please hurry! We have a evacuation near Industrial Area. It happened about half an hour ago.",industrial area; evacuation; dont,RESCUE,2
Caller reports a bus crash at Highway Toll Plaza. There is smoke. Please hurry!,highway toll plaza; bus crash; smoke,CRASH,3
"It's, um, Help! We have a forest fire near Highway Toll Plaza. It happened about ten minutes ago. The weather is cold weather. Visibility is poor.",highway toll plaza; cold weather; forest fire,FIRE,2
There has been a fuel leak near Shopping District. I can see a school bus involved and an injured child. A passenger is waiting.,an injured child; school bus; fuel leak,HAZMAT,3
"Wait, yes, We have a gas leak near Industrial Area. It happened around noon. The weather is dense fog.",industrial area; dense fog; gas leak,HAZMAT,3
The caller says there is a lightning strike at Industrial Area. The incident happened just now. The incident happened just now. Please hurry!,lightning strike; industrial area; caller,CYCLONE,1
There's... We have a building collapse near Airport Junction. It happened before sunrise. Traffic is building up. People are moving away. Send someone now!,airport junction; building collapse; theres,RESCUE,5
Please send help to Riverbank. We have a building collapse involving a SUV. A pedestrian is waiting.,building collapse; riverbank; pedestrian,RESCUE,5
There's... Please send help to Old Railway Crossing. We have a storm damage involving a car. People are moving away.,old railway crossing; storm damage; car,CYCLONE,3
There's... Oh my god! We have a chemical spill near Railway Yard. It happened a few minutes ago. A cyclist is waiting. People are moving away.,railway yard; chemical spill; cyclist,HAZMAT,3
There's... Oh my god! I think there has been a fallen tree near Main Highway. one injured person. Visibility is poor. The weather is dust storm.,one injured person; main highway; fallen tree,RESCUE,3
Please hurry! I am near Residential Block and there has been a cyclone damage. The road is affected and I can see diesel leak. Send someone now!,cyclone damage; diesel leak; residential block,CYCLONE,3
"I... I don't know, Ahhh! A cyclist says there is a electrical accident near Eastern Bypass. They noticed blocked road.",electrical accident; blocked road; eastern bypass,FIRE,1
Please send help to Forest Checkpoint. We have a factory fire involving a car.,factory fire; forest checkpoint; car,FIRE,2
"Wait, yes, Please send help to Central Market. We have a power line failure involving a tanker. People are moving away. Visibility is poor.",power line failure; central market; tanker,HAZMAT,1
911? Reports are coming in from Eastern Bypass about a car rollover. There is oil spill.,oil spill; eastern bypass; car rollover,CRASH,2
911? There has been a fuel leak near South Flyover. I can see a delivery vehicle involved and three injured passengers. A passenger is waiting. Visibility is poor. What do I do?!,three injured passengers; fuel leak; south flyover,HAZMAT,3
"It's, um, A shopkeeper says there is a forest fire near Factory Road. They noticed toxic fumes. People are moving away. The incident happened during rush hour.",forest fire; factory road; toxic fumes,FIRE,3
There's... I think there has been a cold exposure near Old Railway Crossing. one injured person. The weather is poor visibility.,one injured person; old railway crossing; poor visibility,MEDICAL,3
"I... I don't know, 911? A cyclist says there is a cold exposure near South Flyover. They noticed blocked road. People are moving away. Please hurry!",blocked road; south flyover; cold exposure,MEDICAL,2
Oh my god! Heavy cyclonic winds is making the situation worse near Dam Road. There is a building fire. The incident happened late last night. People are moving away.,building fire; cyclonic winds; dam road,FIRE,2
Please send help to Factory Road. We have a urban flooding involving a van. Traffic is building up. What do I do?!,urban flooding; factory road; van,FLOOD,3
"I... I don't know, Oh my god! Caller reports a building collapse at Residential Block. There is chemical fumes. What do I do?!",building collapse; residential block; chemical fumes,RESCUE,5
Help! The caller says there is a car rollover at Railway Yard. The incident happened this afternoon. Traffic is building up.,railway yard; car rollover; help,CRASH,2
There's... I think there has been a flash flood near Market Road. one injured person. A pedestrian is waiting. Send someone now!,one injured person; market road; flash flood,FLOOD,2
"Wait, yes, Help! The caller says there is a aircraft emergency at Station Road.",aircraft emergency; station road; wait,CRASH,2
Oh my god! A pedestrian says there is a storm damage near Market Road. They noticed live electrical wires.,live electrical wires; storm damage; market road,CYCLONE,3
Please send help to Eastern Bypass. We have a explosion involving a tanker. The weather is extreme heat. Traffic is building up. Send someone now!,extreme heat; eastern bypass; tanker,RESCUE,5
The caller says there is a medical emergency at Tunnel Entrance. People are moving away. People are moving away.,tunnel entrance; medical emergency; caller,MEDICAL,2
Ahhh! I am near Central Flyover and there has been a car rollover. The road is affected and I can see fire. The weather is heavy rain. Please hurry!,central flyover; heavy rain; car rollover,CRASH,2
There has been a severe rainfall near North Underpass. I can see a tanker involved and several injured people. Please hurry!,several injured people; north underpass; severe rainfall,CYCLONE,3
911? Caller reports a earthquake damage at Highway Toll Plaza. There is unstable structure. People are moving away.,highway toll plaza; earthquake damage; unstable structure,RESCUE,4
Help! The caller says there is a motorcycle accident at Dam Road.,motorcycle accident; dam road; help,CRASH,1
Help! Reports are coming in from Central Flyover about a train derailment. There is fuel leak.,central flyover; fuel leak; train derailment,CRASH,5
"I... I don't know, Ahhh! Reports are coming in from Western Expressway about a car rollover. There is fire. A driver is waiting. Visibility is poor. Please hurry!",western expressway; car rollover; driver,CRASH,2
"I... I don't know, I am near Warehouse District and there has been a train derailment. The road is affected and I can see chemical fumes. People are moving away.",chemical fumes; train derailment; warehouse district,CRASH,4
The caller says there is a lightning strike at Port Entrance. Visibility is poor. People are moving away. What do I do?!,lightning strike; port entrance; caller,CYCLONE,2
Please hurry! The caller says there is a heat emergency at Port Entrance. People are moving away.,port entrance; heat emergency; please,MEDICAL,1
I am near Tunnel Entrance and there has been a fuel leak. The road is affected and I can see toxic fumes. A pedestrian is waiting. The weather is dust storm.,dust storm; fuel leak; tunnel entrance,HAZMAT,3
Help! I think there has been a gas leak near Riverbank. a trapped passenger. The incident happened during rush hour. The incident happened during rush hour.,a trapped passenger; gas leak; riverbank,HAZMAT,5
Oh my god! I am near Industrial Area and there has been a earthquake damage. The road is affected and I can see oil spill. People are moving away. Send someone now!,industrial area; oil spill; earthquake damage,RESCUE,4
There's... Please send help to Warehouse District. We have a hazardous material incident involving a fuel tanker. A worker is waiting.,hazardous material incident; fuel tanker; warehouse district,HAZMAT,1
Help! Reports are coming in from Warehouse District about a bridge damage. There is rising water.,rising water; bridge damage; warehouse district,RESCUE,2
Please send help to College Road. We have a truck accident involving a delivery vehicle. Traffic is building up. What do I do?!,truck accident; college road; delivery vehicle,CRASH,1
Reports are coming in from Dam Road about a industrial accident. There is gas leak. Visibility is poor. The weather is heavy rain. Please hurry!,industrial accident; gas leak; heavy rain,MEDICAL,3
There's... Please hurry! There has been a forest fire near South Flyover. I can see a van involved and an unconscious person. Traffic is building up.,an unconscious person; south flyover; forest fire,FIRE,4
911? A elderly person says there is a explosion near Tunnel Entrance. They noticed fallen tree. Traffic is building up. Please hurry!,fallen tree; elderly person; tunnel entrance,RESCUE,4
We have a cold exposure near Old Railway Crossing. It happened about half an hour ago. Traffic is building up. What do I do?!,old railway crossing; cold exposure; happened,MEDICAL,2
Ahhh! There has been a building fire near City Hospital. I can see a delivery vehicle involved and several injured people. The weather is heavy rain. A elderly person is waiting. Please hurry!,several injured people; city hospital; elderly person,FIRE,2
"Wait, yes, Oh my god! Caller reports a earthquake damage at Warehouse District. There is broken glass. Send someone now!",broken glass; earthquake damage; warehouse district,RESCUE,5
911? Reports are coming in from Temple Road about a flash flood. There is smoke. A construction worker is waiting.,construction worker; temple road; flash flood,FLOOD,3
Ahhh! Please send help to Tunnel Entrance. We have a medical emergency involving a bus. Traffic is building up. Send someone now!,tunnel entrance; medical emergency; bus,MEDICAL,2
Caller reports a dam overflow at Central Flyover. There is live electrical wires. The weather is poor visibility. Please hurry!,live electrical wires; central flyover; poor visibility,FLOOD,1
"It's, um, Ahhh! We have a cold exposure near Warehouse District. It happened about half an hour ago. Send someone now!",cold exposure; warehouse district; ahhh,MEDICAL,2
Please hurry! Please send help to Main Highway. We have a warehouse fire involving a ambulance. Traffic is building up. Send someone now!,main highway; warehouse fire; ambulance,FIRE,2
"It's, um, We have a missing person near Tunnel Entrance. It happened this afternoon. The weather is cold weather.",cold weather; missing person; tunnel entrance,RESCUE,1
"I... I don't know, I think there has been a power line failure near Station Road. three injured passengers.",three injured passengers; power line failure; station road,HAZMAT,2
Oh my god! A child says there is a building fire near Bus Depot. They noticed fallen tree. Visibility is poor. What do I do?!,fallen tree; bus depot; building fire,FIRE,3
Help! Caller reports a railway accident at College Road. There is fire.,railway accident; college road; fire,CRASH,3
Reports are coming in from North Underpass about a flash flood. There is unstable structure. Visibility is poor.,north underpass; unstable structure; flash flood,FLOOD,2
I am near Tunnel Entrance and there has been a fuel leak. The road is affected and I can see fallen tree.,fallen tree; fuel leak; tunnel entrance,HAZMAT,2
Help! I think there has been a bridge damage near Underpass. a trapped passenger. People are moving away. Traffic is building up. Send someone now!,a trapped passenger; bridge damage; underpass,RESCUE,4
Reports are coming in from North Underpass about a car rollover. There is live electrical wires. Please hurry!,live electrical wires; north underpass; car rollover,CRASH,2
911? Caller reports a car rollover at Forest Checkpoint. There is toxic fumes. The weather is heavy rain. Visibility is poor.,heavy rain; car rollover; toxic fumes,CRASH,1
There has been a truck accident near Central Flyover. I can see a tanker involved and an injured child. The weather is stormy weather. Please hurry!,an injured child; stormy weather; central flyover,CRASH,2
"It's, um, Reports are coming in from Dam Road about a fallen tree. There is fallen tree.",fallen tree; dam road; reports,RESCUE,1
There's... Oh my god! There has been a evacuation near Coastal Road. I can see a train involved and two injured people. The incident happened about ten minutes ago. Send someone now!,two injured people; coastal road; train,RESCUE,2
"It's, um, Help! A security guard says there is a forest fire near Airport Road. They noticed broken glass. People are moving away. Send someone now!",broken glass; airport road; security guard,FIRE,2
There has been a motorcycle accident near Airport Road. I can see a motorcycle involved and an unconscious person. People are moving away. The weather is continuous rainfall.,an unconscious person; airport road; continuous rainfall,CRASH,4
"It's, um, Ahhh! Reports are coming in from North Underpass about a train derailment. There is blocked road. Traffic is building up. What do I do?!",north underpass; blocked road; train derailment,CRASH,4
"Wait, yes, Help! We have a aircraft emergency near Underpass. It happened around noon. Traffic is building up. Visibility is poor. Please hurry!",aircraft emergency; underpass; wait,CRASH,2
Help! I am near North Underpass and there has been a factory fire. The road is affected and I can see fire. Visibility is poor.,north underpass; factory fire; help,FIRE,2
There's... The caller says there is a fallen tree at River Bridge.,fallen tree; river bridge; theres,RESCUE,2
Caller reports a stampede at Airport Junction. There is debris. A resident is waiting.,airport junction; debris; stampede,RESCUE,1
"Wait, yes, Oh my god! Please send help to Shopping District. We have a fuel leak involving a motorcycle. Traffic is building up. The weather is cold weather.",cold weather; fuel leak; shopping district,HAZMAT,2
Caller reports a explosion at Railway Yard. There is gas leak. Visibility is poor.,railway yard; gas leak; explosion,RESCUE,4
Please hurry! Please send help to Main Highway. We have a missing person involving a sedan. Traffic is building up.,main highway; missing person; sedan,RESCUE,2
Oh my god! Reports are coming in from Harbor Area about a crowd emergency. There is debris. What do I do?!,crowd emergency; harbor area; debris,RESCUE,2
Oh my god! There has been a railway accident near Market Road. I can see a bus involved and people with minor injuries. What do I do?!,people with minor injuries; railway accident; market road,CRASH,1
"It's, um, 911? We have a chemical spill near South Flyover. It happened around noon. The weather is extreme heat. The incident happened around noon.",extreme heat; chemical spill; south flyover,HAZMAT,2
Ahhh! I am near Central Market and there has been a evacuation. The road is affected and I can see toxic fumes. The weather is lightning.,central market; toxic fumes; lightning,RESCUE,2
"I... I don't know, 911? The caller says there is a building collapse at Airport Road. A resident is waiting.",airport road; building collapse; resident,RESCUE,5
Please hurry! Heavy wet roads is making the situation worse near Shopping District. There is a fallen tree. Please hurry!,fallen tree; wet roads; shopping district,RESCUE,2
We have a power line failure near City Hospital. It happened late last night. Traffic is building up.,power line failure; city hospital; happened,HAZMAT,2
Heavy thunderstorm is making the situation worse near Riverbank. There is a car rollover. Traffic is building up. Visibility is poor.,car rollover; thunderstorm; riverbank,CRASH,3
Oh my god! Reports are coming in from South Flyover about a lightning strike. There is live electrical wires. The weather is strong winds. The incident happened this afternoon.,live electrical wires; lightning strike; strong winds,CYCLONE,2
Help! Please send help to City Hospital. We have a warehouse fire involving a train. People are moving away.,city hospital; warehouse fire; train,FIRE,3
We have a building fire near Station Road. It happened late last night. A shopkeeper is waiting. The incident happened late last night.,building fire; station road; shopkeeper,FIRE,3
I think there has been a crowd emergency near Coastal Road. several injured people. People are moving away. Send someone now!,several injured people; crowd emergency; coastal road,RESCUE,2
Oh my god! The caller says there is a lightning strike at City Hospital. Traffic is building up. The weather is wet roads.,lightning strike; city hospital; wet roads,CYCLONE,1
Ahhh! Caller reports a factory fire at Main Highway. There is gas leak. Please hurry!,main highway; gas leak; factory fire,FIRE,3
There's... Please send help to College Road. We have a explosion involving a fuel tanker. A construction worker is waiting. A construction worker is waiting. What do I do?!,construction worker; college road; fuel tanker,RESCUE,5
"It's, um, Please send help to Forest Checkpoint. We have a motorcycle accident involving a van.",motorcycle accident; forest checkpoint; van,CRASH,1
Help! I think there has been a fuel leak near Industrial Gate. an injured child. People are moving away. People are moving away.,an injured child; industrial gate; fuel leak,HAZMAT,2
"It's, um, Oh my god! I think there has been a urban flooding near Shopping District. two injured people. Visibility is poor. A resident is waiting. What do I do?!",two injured people; urban flooding; shopping district,FLOOD,3
There's... The caller says there is a truck accident at Riverbank. Visibility is poor. The incident happened this afternoon. What do I do?!,truck accident; riverbank; theres,CRASH,1
911? A resident says there is a fallen tree near Old Bridge. They noticed fuel leak.,fallen tree; old bridge; fuel leak,RESCUE,3
Heavy lightning is making the situation worse near Tunnel Entrance. There is a explosion. People are moving away.,tunnel entrance; explosion; lightning,RESCUE,5
"I... I don't know, Oh my god! Heavy strong winds is making the situation worse near Underpass. There is a building fire. People are moving away.",strong winds; building fire; underpass,FIRE,3
"Wait, yes, There has been a chemical spill near Central Market. I can see a SUV involved and people with minor injuries.",people with minor injuries; chemical spill; central market,HAZMAT,3
There has been a landslide near Central Flyover. I can see a car involved and one injured person. People are moving away. A resident is waiting.,one injured person; central flyover; car,RESCUE,2
"Wait, yes, Oh my god! Reports are coming in from Forest Checkpoint about a crowd emergency. There is diesel leak. Visibility is poor. Visibility is poor. Send someone now!",crowd emergency; diesel leak; forest checkpoint,RESCUE,3
There's... I am near Underpass and there has been a stampede. The road is affected and I can see diesel leak. A worker is waiting.,diesel leak; stampede; worker,RESCUE,2
Caller reports a landslide at Coastal Road. There is diesel leak.,diesel leak; coastal road; landslide,RESCUE,2
"I... I don't know, I am near North Underpass and there has been a dam overflow. The road is affected and I can see fuel leak. What do I do?!",north underpass; fuel leak; dam overflow,FLOOD,2
Reports are coming in from Outer Ring Road about a drowning. There is fire. The incident happened late last night. The weather is stormy weather.,outer ring road; stormy weather; drowning,RESCUE,5
Please hurry! I think there has been a factory fire near Forest Checkpoint. people with minor injuries. Traffic is building up. What do I do?!,people with minor injuries; factory fire; forest checkpoint,FIRE,2
911? There has been a storm damage near South Flyover. I can see a motorcycle involved and three injured passengers. A resident is waiting. What do I do?!,three injured passengers; storm damage; south flyover,CYCLONE,3
I am near Tunnel Entrance and there has been a drowning. The road is affected and I can see fallen tree. Visibility is poor. The weather is thunderstorm. Please hurry!,fallen tree; tunnel entrance; thunderstorm,RESCUE,4
"I... I don't know, Please hurry! Please send help to Residential Block. We have a building fire involving a car. The incident happened before sunrise. People are moving away.",residential block; building fire; car,FIRE,2
911? Reports are coming in from Port Entrance about a medical emergency. There is unstable structure.,port entrance; unstable structure; medical emergency,MEDICAL,2
Oh my god! A shopkeeper says there is a cyclone damage near Railway Yard. They noticed diesel leak.,railway yard; cyclone damage; diesel leak,CYCLONE,3
911? Reports are coming in from Western Expressway about a chemical spill. There is broken glass. A construction worker is waiting. What do I do?!,broken glass; construction worker; chemical spill,HAZMAT,3
Please hurry! I think there has been a power line failure near Ring Road. an unconscious person. People are moving away.,an unconscious person; power line failure; ring road,HAZMAT,5
Help! I think there has been a motorcycle accident near Industrial Area. three injured passengers. People are moving away. A worker is waiting.,three injured passengers; industrial area; motorcycle accident,CRASH,3
Oh my god! A resident says there is a explosion near Industrial Gate. They noticed gas leak.,industrial gate; gas leak; explosion,RESCUE,4
Help! There has been a bus crash near Underpass. I can see a car involved and a trapped passenger. People are moving away. A security guard is waiting.,a trapped passenger; bus crash; security guard,CRASH,5
Oh my god! A shopkeeper says there is a lightning strike near Shopping District. They noticed fuel leak. The incident happened this afternoon.,lightning strike; fuel leak; shopping district,CYCLONE,2
Please send help to Airport Road. We have a cold exposure involving a ambulance. Visibility is poor. The weather is dense fog.,airport road; dense fog; cold exposure,MEDICAL,1
Please hurry! The caller says there is a stampede at Highway Toll Plaza. Visibility is poor. Send someone now!,highway toll plaza; stampede; please,RESCUE,2
Ahhh! Reports are coming in from Eastern Bypass about a boat accident. There is rising water. Please hurry!,boat accident; rising water; eastern bypass,CRASH,1
"I... I don't know, The caller says there is a boat accident at Old Bridge.",boat accident; old bridge; dont,CRASH,1
"Wait, yes, We have a cyclone damage near Commercial Street. It happened during rush hour. A cyclist is waiting.",cyclone damage; commercial street; cyclist,CYCLONE,2
I am near Railway Station and there has been a explosion. The road is affected and I can see unstable structure. People are moving away. The weather is continuous rainfall.,railway station; continuous rainfall; unstable structure,RESCUE,5
I am near City Center and there has been a power line failure. The road is affected and I can see oil spill. People are moving away.,power line failure; city center; oil spill,HAZMAT,2
I am near Highway Toll Plaza and there has been a building fire. The road is affected and I can see diesel leak. Visibility is poor. The incident happened late last night.,highway toll plaza; diesel leak; building fire,FIRE,3
The caller says there is a car rollover at Shopping District. A shopkeeper is waiting. A shopkeeper is waiting.,shopping district; car rollover; shopkeeper,CRASH,2
Oh my god! I am near Ring Road and there has been a railway accident. The road is affected and I can see diesel leak. The weather is heavy rain. The weather is heavy rain. Please hurry!,ring road; railway accident; diesel leak,CRASH,3
Please hurry! I am near Eastern Bypass and there has been a missing person. The road is affected and I can see broken glass. The incident happened before sunrise.,broken glass; missing person; eastern bypass,RESCUE,1
The caller says there is a evacuation at Commercial Street. The incident happened around noon.,commercial street; evacuation; caller,RESCUE,2
There has been a chemical spill near Underpass. I can see a fuel tanker involved and three injured passengers. The incident happened this afternoon.,three injured passengers; chemical spill; fuel tanker,HAZMAT,2
Please hurry! We have a gas leak near Main Highway. It happened late last night.,main highway; gas leak; please,HAZMAT,2
911? We have a car rollover near Forest Checkpoint. It happened late last night. People are moving away. Traffic is building up.,car rollover; forest checkpoint; happened,CRASH,1
Please send help to Old Bridge. We have a gas leak involving a train.,old bridge; gas leak; train,HAZMAT,2
A cyclist says there is a factory fire near City Hospital. They noticed fallen tree.,city hospital; fallen tree; factory fire,FIRE,3
"I... I don't know, Ahhh! Please send help to Central Market. We have a gas leak involving a school bus. People are moving away. Visibility is poor. What do I do?!",school bus; gas leak; central market,HAZMAT,3
Please send help to Outer Ring Road. We have a cyclone damage involving a fuel tanker.,outer ring road; cyclone damage; fuel tanker,CYCLONE,1
"I... I don't know, 911? There has been a vehicle collision near Port Entrance. I can see a sedan involved and a seriously injured driver. Traffic is building up. Please hurry!",a seriously injured driver; vehicle collision; port entrance,CRASH,2
Oh my god! A resident says there is a lightning strike near Central Flyover. They noticed broken glass. The weather is extreme heat. What do I do?!,lightning strike; broken glass; extreme heat,CYCLONE,2
"Wait, yes, Ahhh! I think there has been a road blockage near Old Bridge. multiple casualties. Visibility is poor.",old bridge; road blockage; multiple casualties,RESCUE,4
There's... There has been a chemical spill near Underpass. I can see a tanker involved and three injured passengers. Visibility is poor. Send someone now!,three injured passengers; chemical spill; tanker,HAZMAT,3
A passenger says there is a hazardous material incident near Railway Yard. They noticed live electrical wires. A passenger is waiting. Please hurry!,live electrical wires; hazardous material incident; railway yard,HAZMAT,2
"I... I don't know, 911? I think there has been a missing person near Port Entrance. one injured person.",one injured person; missing person; port entrance,RESCUE,3
There's... The caller says there is a storm damage at Outer Ring Road.,outer ring road; storm damage; theres,CYCLONE,2
"It's, um, Please send help to Coastal Road. We have a fallen tree involving a fuel tanker. A passenger is waiting.",fallen tree; coastal road; fuel tanker,RESCUE,2
Ahhh! The caller says there is a flash flood at Factory Road. The incident happened a few minutes ago.,flash flood; factory road; ahhh,FLOOD,2
Please send help to Residential Block. We have a warehouse fire involving a fuel tanker. A construction worker is waiting. Traffic is building up. What do I do?!,construction worker; residential block; warehouse fire,FIRE,3
"I... I don't know, We have a stampede near Airport Road. It happened around midnight.",airport road; stampede; dont,RESCUE,1
There's... Ahhh! Caller reports a severe rainfall at Market Road. There is fuel leak. The weather is wet roads.,severe rainfall; fuel leak; wet roads,CYCLONE,3
There has been a flash flood near Dam Road. I can see a fuel tanker involved and a trapped passenger. Send someone now!,a trapped passenger; fuel tanker; flash flood,FLOOD,4
"Wait, yes, Help! A construction worker says there is a cyclone damage near Port Entrance. They noticed fire. A construction worker is waiting. What do I do?!",construction worker; port entrance; cyclone damage,CYCLONE,3
Please hurry! I think there has been a aircraft emergency near Residential Block. a seriously injured driver. Send someone now!,a seriously injured driver; residential block; aircraft emergency,CRASH,2
Please send help to Industrial Area. We have a fallen tree involving a bus.,industrial area; fallen tree; bus,RESCUE,1
911? The caller says there is a aircraft emergency at Old Bridge. Please hurry!,old bridge; aircraft emergency; caller,CRASH,2
Ahhh! Reports are coming in from City Center about a missing person. There is debris. Traffic is building up. Send someone now!,city center; missing person; debris,RESCUE,1
"It's, um, Please send help to North Underpass. We have a railway accident involving a sedan. A elderly person is waiting. The weather is poor visibility.",railway accident; north underpass; poor visibility,CRASH,1
Oh my god! I am near Forest Checkpoint and there has been a bus crash. The road is affected and I can see fallen tree.,fallen tree; bus crash; forest checkpoint,CRASH,3
Please send help to Industrial Area. We have a boat accident involving a ambulance. People are moving away. Traffic is building up.,boat accident; industrial area; ambulance,CRASH,2
We have a drowning near South Flyover. It happened before sunrise. People are moving away. Visibility is poor. What do I do?!,south flyover; drowning; happened,RESCUE,4
"I... I don't know, Oh my god! The caller says there is a train derailment at South Flyover. Traffic is building up. Visibility is poor. Please hurry!",south flyover; train derailment; dont,CRASH,5
"It's, um, Oh my god! We have a fallen tree near Underpass. It happened around midnight. Traffic is building up.",fallen tree; underpass; happened,RESCUE,1
"It's, um, Please hurry! Heavy thunderstorm is making the situation worse near Underpass. There is a landslide. A driver is waiting. What do I do?!",thunderstorm; driver; underpass,RESCUE,3
I think there has been a wildfire near Coastal Road. one injured person. Traffic is building up. Please hurry!,one injured person; coastal road; wildfire,FIRE,2
Ahhh! A passenger says there is a lightning strike near Industrial Area. They noticed blocked road. Send someone now!,lightning strike; industrial area; blocked road,CYCLONE,2
There's... Please hurry! I am near Riverbank and there has been a building collapse. The road is affected and I can see gas leak.,building collapse; gas leak; riverbank,RESCUE,4
"It's, um, We have a crowd emergency near Outer Ring Road. It happened around midnight. What do I do?!",outer ring road; crowd emergency; happened,RESCUE,2
Help! Caller reports a lightning strike at Eastern Bypass. There is unstable structure. What do I do?!,lightning strike; unstable structure; eastern bypass,CYCLONE,1
Oh my god! I think there has been a building fire near Forest Checkpoint. a seriously injured driver. The incident happened this afternoon.,a seriously injured driver; building fire; forest checkpoint,FIRE,3
911? We have a drowning near Bus Depot. It happened before sunrise.,bus depot; drowning; happened,RESCUE,4
Reports are coming in from River Bridge about a stampede. There is chemical fumes. People are moving away.,river bridge; chemical fumes; stampede,RESCUE,1
"I... I don't know, Heavy dense fog is making the situation worse near Highway Toll Plaza. There is a lightning strike. The weather is dense fog. Visibility is poor. What do I do?!",highway toll plaza; lightning strike; dense fog,CYCLONE,2
Reports are coming in from City Hospital about a fallen tree. There is broken glass. The weather is dense fog.,broken glass; city hospital; fallen tree,RESCUE,1
I am near Factory Road and there has been a warehouse fire. The road is affected and I can see smoke. Traffic is building up.,warehouse fire; factory road; smoke,FIRE,2
Oh my god! Heavy thunderstorm is making the situation worse near City Center. There is a warehouse fire. The incident happened before sunrise. Visibility is poor. Send someone now!,city center; warehouse fire; thunderstorm,FIRE,2
911? We have a cold exposure near Shopping District. It happened during rush hour. Send someone now!,cold exposure; shopping district; happened,MEDICAL,2
There's... Please hurry! A security guard says there is a train derailment near South Flyover. They noticed smoke. People are moving away. A security guard is waiting.,security guard; south flyover; train derailment,CRASH,5
"I... I don't know, Please hurry! Caller reports a industrial accident at Tunnel Entrance. There is blocked road. Please hurry!",blocked road; industrial accident; tunnel entrance,MEDICAL,2
Ahhh! The caller says there is a explosion at Airport Junction. The incident happened late last night. Visibility is poor.,airport junction; explosion; ahhh,RESCUE,5
"I... I don't know, I am near River Bridge and there has been a wildfire. The road is affected and I can see live electrical wires. A resident is waiting. People are moving away.",live electrical wires; river bridge; wildfire,FIRE,2
There's... Heavy extreme heat is making the situation worse near Coastal Road. There is a crowd emergency. Traffic is building up. Visibility is poor. What do I do?!,extreme heat; crowd emergency; coastal road,RESCUE,2
"Wait, yes, Heavy poor visibility is making the situation worse near Warehouse District. There is a building fire. The incident happened early this morning.",poor visibility; building fire; warehouse district,FIRE,3
Ahhh! The caller says there is a fallen tree at Industrial Gate. People are moving away. Traffic is building up. Send someone now!,fallen tree; industrial gate; ahhh,RESCUE,2
"Wait, yes, Help! Please send help to Market Road. We have a boat accident involving a van. What do I do?!",boat accident; market road; van,CRASH,1
There has been a heat emergency near Railway Station. I can see a truck involved and people with minor injuries. Traffic is building up. The weather is extreme heat.,people with minor injuries; extreme heat; railway station,MEDICAL,2
Help! Caller reports a missing person at North Underpass. There is fallen tree.,north underpass; fallen tree; missing person,RESCUE,2
"I... I don't know, 911? I think there has been a medical emergency near North Underpass. people with minor injuries. The incident happened around noon.",people with minor injuries; north underpass; medical emergency,MEDICAL,1
Ahhh! We have a flash flood near Shopping District. It happened late last night. Send someone now!,shopping district; flash flood; ahhh,FLOOD,2
There's... I think there has been a wildfire near Railway Yard. an injured child. Visibility is poor.,an injured child; railway yard; wildfire,FIRE,3
Please hurry! I am near Central Flyover and there has been a flash flood. The road is affected and I can see live electrical wires. People are moving away. What do I do?!,live electrical wires; central flyover; flash flood,FLOOD,2
Ahhh! We have a truck accident near Warehouse District. It happened during rush hour. The weather is stormy weather.,stormy weather; truck accident; warehouse district,CRASH,3
I am near Railway Station and there has been a storm damage. The road is affected and I can see diesel leak. The weather is cyclonic winds. A passenger is waiting.,storm damage; railway station; diesel leak,CYCLONE,3
Please send help to North Underpass. We have a warehouse fire involving a truck. Visibility is poor. The weather is cold weather.,north underpass; cold weather; warehouse fire,FIRE,3
Please hurry! Reports are coming in from Railway Station about a drowning. There is gas leak. A driver is waiting. Visibility is poor. What do I do?!,railway station; gas leak; driver,RESCUE,4
"It's, um, Please hurry! Please send help to Old Railway Crossing. We have a landslide involving a van. Traffic is building up. The incident happened around midnight.",old railway crossing; van; landslide,RESCUE,1
Oh my god! I think there has been a flash flood near Railway Station. a trapped passenger. A construction worker is waiting. Please hurry!,a trapped passenger; construction worker; railway station,FLOOD,5
